duracao,ciclo,faixa_etaria,cronico,composicao_titular,especialidade,uso,total_contratos,churners,churn_rate
6,2o+,31-50,S,com_ambos,ortopedia,nao_usou,285,109,38.2
6,2o+,31-50,S,com_crianca,ortopedia,nao_usou,547,249,45.5
6,2o+,31-50,S,com_idoso,ortopedia,nao_usou,510,180,35.3
6,2o+,31-50,S,solo,ortopedia,nao_usou,957,451,47.1
6,2o+,51-70,N,com_ambos,ortopedia,nao_usou,979,396,40.4
6,2o+,51-70,N,com_crianca,ortopedia,nao_usou,1527,633,41.5
6,2o+,51-70,N,com_idoso,ortopedia,nao_usou,3601,1434,39.8
6,2o+,51-70,N,solo,ortopedia,nao_usou,5427,2532,46.7
6,2o+,51-70,S,com_ambos,ortopedia,nao_usou,429,156,36.4
6,2o+,51-70,S,com_crianca,ortopedia,nao_usou,587,221,37.6
6,2o+,51-70,S,com_idoso,ortopedia,nao_usou,1723,625,36.3
6,2o+,51-70,S,solo,ortopedia,nao_usou,2419,1043,43.1
6,2o+,71+,N,com_ambos,ortopedia,nao_usou,138,51,37.0
6,2o+,71+,N,com_crianca,ortopedia,nao_usou,178,84,47.2
6,2o+,71+,N,com_idoso,ortopedia,nao_usou,913,377,41.3
