contract_id,desfecho,dias_ate_proximo,next_is_gratis
c36aa6a0-e848-11ee-844b-2fa6bc05ae4c-1,saiu_de_vez,,
c36ac5d0-40bb-11ed-956f-ad74731b0de0-2,saiu_de_vez,,
c36ae6f0-17c3-11f0-828a-f546e3d8078e-1,migrou_gratis,17,true
c36b0850-29d1-11ef-abc5-b39abdf2e8bc-1,saiu_de_vez,,
c36b1e10-042d-11ed-a983-057ff05f9bb3-1,migrou_gratis,16,true
c36b1f50-cc67-11ef-a1d7-15925a1afc43-1,saiu_de_vez,,
c36b8fc0-51ed-11ef-a30a-71584013148e-1,voltou_pago,244,false
c36b9bc0-7126-11ef-acfd-4b54a23135de-1,saiu_de_vez,,
c36bbaf0-c4b7-11ed-b19a-33c774d9066d-1,voltou_pago,5,false
c36c7e80-0926-11f0-87eb-e30d2d50464d-1,saiu_de_vez,,
c36c92b0-a615-11ed-b91f-8917048bbe26-4,saiu_de_vez,,
c36cc530-db31-11ee-83b7-c316ca73f52e-1,saiu_de_vez,,
c36cf050-7681-11ef-a8ef-650d40438e37-1,saiu_de_vez,,
c36cfc10-a01d-11ef-89b0-2b43e721b872-1,voltou_pago,148,false
c36d4650-1f1b-11ed-af33-01d72969637a-1,saiu_de_vez,,
c36d6800-9c3d-11ef-89ed-6b9c94c66f25-1,migrou_gratis,17,true
c36d9e50-dc8b-11ee-8e2f-fdd4e39df68a-2,saiu_de_vez,,
c36de8d0-b10f-11ee-88a8-5bd94c6cd865-1,saiu_de_vez,,
c36e0a10-daf7-11ee-ad0b-d3eae0c517f2-1,saiu_de_vez,,
c36e3de0-fc83-11ec-aa11-d3f310bf55b2-2,saiu_de_vez,,
c36e48e0-3219-11ee-b3b4-31225628c16c-2,voltou_pago,16,false
c36e50d0-1057-11ee-9fe7-b123c01e13ac-4,voltou_pago,3,false
c36e5750-77d2-11ee-b31d-cd1b49bdcb0d-1,saiu_de_vez,,
c36e99b0-f704-11ef-9be9-69e4c5d70ecd-1,saiu_de_vez,,
c36e9d60-a7aa-11ef-8b80-47e2864ab834-1,saiu_de_vez,,
c36eaa10-76f8-11ed-842f-116ebf5ff80b-1,saiu_de_vez,,
c36eae30-0fc5-11f0-8176-93e71e2cd771-2,saiu_de_vez,,
c36edc40-193c-11f0-92f4-37d08b72ec97-1,saiu_de_vez,,
c36ee770-e2d9-11ee-854a-8fd36bc049e8-1,saiu_de_vez,,
c36eedc0-3384-11ed-93bc-e956ef73da1a-1,saiu_de_vez,,
c36f0ad0-3233-11ef-b3a6-41c72f9905c7-1,migrou_gratis,17,true
c36f5f80-b41e-11f0-a2e5-294eed9d1b87-1,saiu_de_vez,,
c36f9000-5dce-11f0-968c-c10cdd8bdb31-1,migrou_gratis,17,true
c36fa460-4638-11ed-ae5c-9b917ec77b1f-3,saiu_de_vez,,
c3704540-f57f-11ed-9ce2-4d1d99937b56-2,voltou_pago,10,false
c3706090-43dd-11ef-96e5-fbe962f96634-1,saiu_de_vez,,
c37076a0-da92-11eb-8397-f3be3145a5c0-2,migrou_gratis,16,true
c3712310-e265-11ee-a285-dbf1b81f9e2a-2,migrou_gratis,17,true
c3716d60-13e3-11f0-bbac-1b5aa9bcd761-1,voltou_pago,6,false
c3717f10-d936-11ed-a7b4-35581ff886a1-3,migrou_gratis,17,true
c371d7d0-29b6-11f0-b87f-414fd8b4c1c8-1,migrou_gratis,17,true
c3725500-a370-11f0-93a2-a1eb0b02edab-1,saiu_de_vez,,
c3727ee0-96f5-11f0-ab3e-b3de97ec0a8e-1,migrou_gratis,17,true
c372f010-e6a7-11ed-8ef3-bb3c8931d3c9-1,migrou_gratis,17,true
c37316b0-e7d3-11ef-96ab-c13935eb276a-1,migrou_gratis,17,true
c3732fb0-75c0-11ed-bbb9-87bb3c7d8165-2,saiu_de_vez,,
c373f4d0-4028-11ee-87c9-673c433d4336-1,voltou_pago,1,false
c3749330-fa2e-11ed-986d-adad02901241-1,migrou_gratis,16,true
c374a200-d8f5-11eb-b7c6-633bca8523c7-2,saiu_de_vez,,
c374d640-70f4-11ef-94d4-2ba9af66328d-1,migrou_gratis,17,true
c374e200-a884-11ed-9bab-ef78ceba151b-1,saiu_de_vez,,
c374ec00-ef95-11ef-86d2-2fe90dcefb3f-1,migrou_gratis,17,true
c374fb20-ab24-11ee-9e3c-e537a75a505b-1,saiu_de_vez,,
c3753440-bf3a-11ed-8d41-4bf243d758b7-3,voltou_pago,7,false
c3756930-cc04-11ec-afc8-6f83307958bd-2,saiu_de_vez,,
c3758d10-948b-11ee-98f3-8ddbca99d105-1,voltou_pago,100,false
c375e500-f117-11ef-86a3-abed6b4804f6-1,migrou_gratis,17,true
c3760050-b87c-11ee-bb86-91782949d015-2,saiu_de_vez,,
c3762ba0-6c5b-11ef-ae25-2586abdbbc9a-1,voltou_pago,16,false
c376b8a0-a837-11ef-96e9-7b5e22785994-1,saiu_de_vez,,
c376e210-29d0-11f0-91ff-7900fcd92dc4-1,voltou_pago,39,false
c376e790-316d-11ee-9748-25cf13e75c4e-1,voltou_pago,336,false
